Chanage,Elevation
32973.3,676.4
32523.2,676.4
32862.5,676.5
32861.5,676.5
32860.5,676.5
32944.4,676.5
32859.5,676.5
32863.5,676.5
32864.5,676.6
32522.2,676.6
32926.4,676.6
32931.4,676.6
32930.4,676.6
32974.3,676.6
32717.8,676.6
32932.4,676.6
32927.4,676.6
32925.4,676.6
32858.5,676.6
32929.4,676.6
32943.4,676.6
32928.4,676.6
32521.2,676.7
32865.5,676.7
32857.5,676.7
32520.2,676.7
32866.5,676.7
32933.4,676.7
32942.4,676.8
32975.3,676.8
32856.5,676.8
32867.5,676.8
32924.4,676.8
32815.6,676.8
32855.5,676.9
32852.6,676.9
32816.6,676.9
32718.8,676.9
32817.6,676.9
32868.5,676.9
32941.4,676.9
32851.6,676.9
32853.6,676.9
32519.2,676.9
32819.6,676.9
32923.4,676.9
32854.6,676.9
32934.4,676.9
32818.6,676.9
32814.6,676.9
32849.6,676.9
32850.6,676.9
32848.6,677.0
32869.5,677.0
32976.3,677.0
32940.4,677.0
32922.4,677.1
32820.6,677.1
32813.6,677.1
32870.5,677.1
32935.4,677.1
32871.5,677.1
32847.6,677.1
32821.6,677.1
32518.2,677.1
32939.4,677.2
32936.4,677.2
32872.5,677.2
32937.4,677.2
32938.4,677.2
32822.6,677.2
32921.4,677.2
32846.6,677.2
32812.6,677.3
32977.3,677.3
32845.6,677.3
32823.6,677.3
32844.6,677.3
32841.6,677.3
32920.4,677.3
32811.6,677.3
32840.6,677.3
32517.2,677.3
32843.6,677.3
32873.5,677.3
32842.6,677.3
32874.5,677.3
32824.6,677.4
32887.5,677.4
32839.6,677.4
32838.6,677.4
32919.4,677.4
32837.6,677.4
32836.6,677.4
32875.5,677.4
32827.6,677.4
32886.5,677.4
32835.6,677.4
32834.6,677.4
32826.6,677.5
32896.5,677.5
32833.6,677.5
32825.6,677.5
32978.3,677.5
32885.5,677.5
32918.4,677.5
32719.8,677.5
32828.6,677.5
32895.5,677.5
32831.6,677.5
32876.5,677.5
32888.5,677.5
32830.6,677.5
32516.2,677.5
32894.5,677.5
32832.6,677.5
32917.4,677.6
32829.6,677.6
32884.5,677.6
32893.5,677.6
32916.4,677.6
32810.6,677.6
32889.5,677.6
32883.5,677.6
32897.5,677.6
32892.5,677.7
32880.5,677.7
32881.5,677.7
32882.5,677.7
32890.5,677.7
32915.4,677.7
32879.5,677.7
32979.3,677.7
32877.5,677.7
32898.5,677.7
32914.4,677.7
32900.5,677.8
32515.2,677.8
32913.4,677.8
32899.5,677.8
32901.5,677.8
32891.5,677.8
32912.4,677.8
32878.5,677.8
32809.6,677.8
32980.3,677.9
32720.8,678.0
32981.3,678.0
32902.5,678.0
32514.2,678.0
32911.4,678.0
32808.6,678.0
32910.4,678.0
32903.5,678.1
32721.8,678.1
32982.3,678.1
32909.4,678.1
32722.8,678.1
32807.6,678.1
32723.8,678.2
32724.8,678.2
32983.3,678.2
32905.5,678.2
32725.8,678.2
32806.6,678.2
32757.7,678.2
32746.8,678.2
32805.6,678.2
32756.7,678.2
32904.5,678.2
32726.8,678.2
32747.8,678.2
32758.7,678.3
32728.8,678.3
32908.4,678.3
32754.7,678.3
32755.7,678.3
32727.8,678.3
32751.8,678.3
32906.4,678.3
32759.7,678.3
32752.8,678.3
32771.7,678.3
32753.7,678.3
32513.2,678.3
32748.8,678.3
32770.7,678.3
32729.8,678.3
32984.3,678.3
32750.8,678.3
32804.6,678.3
32907.4,678.3
32730.8,678.3
32731.8,678.3
32760.7,678.3
32745.8,678.3
32749.8,678.4
32772.7,678.4
32769.7,678.4
32762.7,678.4
32761.7,678.4
32732.8,678.4
32734.8,678.4
32767.7,678.4
32795.7,678.4
32735.8,678.4
32768.7,678.4
32744.8,678.4
32766.7,678.4
32773.7,678.4
32763.7,678.4
32736.8,678.4
32985.3,678.4
32794.7,678.4
32796.7,678.4
32774.7,678.4
32765.7,678.5
32764.7,678.5
32733.8,678.5
32803.7,678.5
32793.7,678.5
32775.7,678.5
32986.3,678.5
32797.7,678.5
32776.7,678.5
32792.7,678.5
32989.3,678.5
32993.3,678.5
32743.8,678.5
32798.7,678.5
32988.3,678.5
32741.8,678.5
32740.8,678.5
32737.8,678.5
32791.7,678.5
32742.8,678.5
32739.8,678.5
32990.3,678.5
32790.7,678.5
32801.7,678.5
32777.7,678.5
32778.7,678.5
32799.7,678.5
32802.7,678.5
32738.8,678.6
32800.7,678.6
32987.3,678.6
32512.2,678.6
33000.3,678.6
32992.3,678.6
32789.7,678.6
32788.7,678.6
32779.7,678.6
32991.3,678.7
32787.7,678.7
32783.7,678.7
32994.3,678.7
32784.7,678.7
32995.3,678.7
32998.3,678.7
32999.3,678.7
32780.7,678.7
32511.2,678.7
32786.7,678.8
32782.7,678.8
32785.7,678.8
32997.3,678.8
32510.2,678.8
32996.3,678.8
32781.7,678.9
32509.2,678.9
32508.2,679.0
32507.2,679.0
32506.2,679.0
32505.2,679.1
32500.2,679.1
32504.2,679.1
32483.3,679.1
32484.3,679.1
32503.2,679.1
32486.3,679.1
32485.3,679.1
32501.2,679.1
